x,y,vx,vy,mass,volume,type
-0.1375,-0.2625,0.1,0.1,0.625,0.000625,1
-0.1125,-0.2875,0.1,0.1,0.625,0.000625,1
-0.1125,-0.2625,0.1,0.1,0.625,0.000625,1
-0.1375,-0.2375,0.1,0.1,0.625,0.000625,1
-0.1375,-0.2125,0.1,0.1,0.625,0.000625,1
-0.1125,-0.2375,0.1,0.1,0.625,0.000625,1
-0.1375,-0.1875,0.1,0.1,0.625,0.000625,1
0.1375,0.1875,-0.1,-0.1,0.625,0.000625,2
0.1125,0.2375,-0.1,-0.1,0.625,0.000625,2
0.1375,0.2125,-0.1,-0.1,0.625,0.000625,2
0.1375,0.2375,-0.1,-0.1,0.625,0.000625,2
0.1125,0.2625,-0.1,-0.1,0.625,0.000625,2
0.1125,0.2875,-0.1,-0.1,0.625,0.000625,2
0.1375,0.2625,-0.1,-0.1,0.625,0.000625,2
0.1375,0.2875,-0.1,-0.1,0.625,0.000625,2
0.1125,0.3125,-0.1,-0.1,0.625,0.000625,2
0.1125,0.3375,-0.1,-0.1,0.625,0.000625,2
0.1375,0.3125,-0.1,-0.1,0.625,0.000625,2
0.1375,0.3375,-0.1,-0.1,0.625,0.000625,2
0.1125,0.3625,-0.1,-0.1,0.625,0.000625,2
0.1375,0.3625,-0.1,-0.1,0.625,0.000625,2
0.1375,0.3875,-0.1,-0.1,0.625,0.000625,2
0.1375,0.4125,-0.1,-0.1,0.625,0.000625,2
0.1875,0.1375,-0.1,-0.1,0.625,0.000625,2
0.1625,0.1625,-0.1,-0.1,0.625,0.000625,2
0.1625,0.1875,-0.1,-0.1,0.625,0.000625,2
0.1875,0.1625,-0.1,-0.1,0.625,0.000625,2
0.1875,0.1875,-0.1,-0.1,0.625,0.000625,2
0.1625,0.2125,-0.1,-0.1,0.625,0.000625,2
0.1625,0.2375,-0.1,-0.1,0.625,0.000625,2
0.1875,0.2125,-0.1,-0.1,0.625,0.000625,2
0.1875,0.2375,-0.1,-0.1,0.625,0.000625,2
0.1625,0.2625,-0.1,-0.1,0.625,0.000625,2
0.1625,0.2875,-0.1,-0.1,0.625,0.000625,2
0.1875,0.2625,-0.1,-0.1,0.625,0.000625,2
0.1875,0.2875,-0.1,-0.1,0.625,0.000625,2
0.1625,0.3125,-0.1,-0.1,0.625,0.000625,2
0.1625,0.3375,-0.1,-0.1,0.625,0.000625,2
0.1875,0.3125,-0.1,-0.1,0.625,0.000625,2
0.1875,0.3375,-0.1,-0.1,0.625,0.000625,2
0.1625,0.3625,-0.1,-0.1,0.625,0.000625,2
0.1625,0.3875,-0.1,-0.1,0.625,0.000625,2
0.1875,0.3625,-0.1,-0.1,0.625,0.000625,2
0.1875,0.3875,-0.1,-0.1,0.625,0.000625,2
0.1625,0.4125,-0.1,-0.1,0.625,0.000625,2
0.1625,0.4375,-0.1,-0.1,0.625,0.000625,2
0.1875,0.4125,-0.1,-0.1,0.625,0.000625,2
0.1875,0.4375,-0.1,-0.1,0.625,0.000625,2
0.1875,0.4625,-0.1,-0.1,0.625,0.000625,2
0.2125,0.1375,-0.1,-0.1,0.625,0.000625,2
0.2375,0.1125,-0.1,-0.1,0.625,0.000625,2
0.2375,0.1375,-0.1,-0.1,0.625,0.000625,2
0.2125,0.1625,-0.1,-0.1,0.625,0.000625,2
0.2125,0.1875,-0.1,-0.1,0.625,0.000625,2
0.2375,0.1625,-0.1,-0.1,0.625,0.000625,2
0.2375,0.1875,-0.1,-0.1,0.625,0.000625,2
0.2125,0.2125,-0.1,-0.1,0.625,0.000625,2
0.2125,0.2375,-0.1,-0.1,0.625,0.000625,2
0.2375,0.2125,-0.1,-0.1,0.625,0.000625,2
0.2375,0.2375,-0.1,-0.1,0.625,0.000625,2
0.2125,0.2625,-0.1,-0.1,0.625,0.000625,2
0.2125,0.2875,-0.1,-0.1,0.625,0.000625,2
0.2375,0.2625,-0.1,-0.1,0.625,0.000625,2
0.2375,0.2875,-0.1,-0.1,0.625,0.000625,2
0.2125,0.3125,-0.1,-0.1,0.625,0.000625,2
0.2125,0.3375,-0.1,-0.1,0.625,0.000625,2
0.2375,0.3125,-0.1,-0.1,0.625,0.000625,2
0.2375,0.3375,-0.1,-0.1,0.625,0.000625,2
0.2125,0.3625,-0.1,-0.1,0.625,0.000625,2
0.2125,0.3875,-0.1,-0.1,0.625,0.000625,2
0.2375,0.3625,-0.1,-0.1,0.625,0.000625,2
0.2375,0.3875,-0.1,-0.1,0.625,0.000625,2
0.2125,0.4125,-0.1,-0.1,0.625,0.000625,2
0.2125,0.4375,-0.1,-0.1,0.625,0.000625,2
0.2375,0.4125,-0.1,-0.1,0.625,0.000625,2
0.2375,0.4375,-0.1,-0.1,0.625,0.000625,2
0.2125,0.4625,-0.1,-0.1,0.625,0.000625,2
0.2375,0.4625,-0.1,-0.1,0.625,0.000625,2
0.2375,0.4875,-0.1,-0.1,0.625,0.000625,2
0.2625,0.1125,-0.1,-0.1,0.625,0.000625,2
0.2625,0.1375,-0.1,-0.1,0.625,0.000625,2
0.2875,0.1125,-0.1,-0.1,0.625,0.000625,2
0.2875,0.1375,-0.1,-0.1,0.625,0.000625,2
0.2625,0.1625,-0.1,-0.1,0.625,0.000625,2
0.2625,0.1875,-0.1,-0.1,0.625,0.000625,2
0.2875,0.1625,-0.1,-0.1,0.625,0.000625,2
0.2875,0.1875,-0.1,-0.1,0.625,0.000625,2
0.2625,0.2125,-0.1,-0.1,0.625,0.000625,2
0.2625,0.2375,-0.1,-0.1,0.625,0.000625,2
0.2875,0.2125,-0.1,-0.1,0.625,0.000625,2
0.2875,0.2375,-0.1,-0.1,0.625,0.000625,2
0.2625,0.2625,-0.1,-0.1,0.625,0.000625,2
0.2625,0.2875,-0.1,-0.1,0.625,0.000625,2
0.2875,0.2625,-0.1,-0.1,0.625,0.000625,2
0.2875,0.2875,-0.1,-0.1,0.625,0.000625,2
0.2625,0.3125,-0.1,-0.1,0.625,0.000625,2
0.2625,0.3375,-0.1,-0.1,0.625,0.000625,2
0.2875,0.3125,-0.1,-0.1,0.625,0.000625,2
0.2875,0.3375,-0.1,-0.1,0.625,0.000625,2
0.2625,0.3625,-0.1,-0.1,0.625,0.000625,2
0.2625,0.3875,-0.1,-0.1,0.625,0.000625,2
0.2875,0.3625,-0.1,-0.1,0.625,0.000625,2
0.2875,0.3875,-0.1,-0.1,0.625,0.000625,2
0.2625,0.4125,-0.1,-0.1,0.625,0.000625,2
0.2625,0.4375,-0.1,-0.1,0.625,0.000625,2
0.2875,0.4125,-0.1,-0.1,0.625,0.000625,2
0.2875,0.4375,-0.1,-0.1,0.625,0.000625,2
0.2625,0.4625,-0.1,-0.1,0.625,0.000625,2
0.2625,0.4875,-0.1,-0.1,0.625,0.000625,2
0.2875,0.4625,-0.1,-0.1,0.625,0.000625,2
0.2875,0.4875,-0.1,-0.1,0.625,0.000625,2
0.3125,0.1125,-0.1,-0.1,0.625,0.000625,2
0.3125,0.1375,-0.1,-0.1,0.625,0.000625,2
0.3375,0.1125,-0.1,-0.1,0.625,0.000625,2
0.3375,0.1375,-0.1,-0.1,0.625,0.000625,2
0.3125,0.1625,-0.1,-0.1,0.625,0.000625,2
0.3125,0.1875,-0.1,-0.1,0.625,0.000625,2
0.3375,0.1625,-0.1,-0.1,0.625,0.000625,2
0.3375,0.1875,-0.1,-0.1,0.625,0.000625,2
0.3125,0.2125,-0.1,-0.1,0.625,0.000625,2
0.3125,0.2375,-0.1,-0.1,0.625,0.000625,2
0.3375,0.2125,-0.1,-0.1,0.625,0.000625,2
0.3375,0.2375,-0.1,-0.1,0.625,0.000625,2
0.3125,0.2625,-0.1,-0.1,0.625,0.000625,2
0.3125,0.2875,-0.1,-0.1,0.625,0.000625,2
0.3375,0.2625,-0.1,-0.1,0.625,0.000625,2
0.3375,0.2875,-0.1,-0.1,0.625,0.000625,2
0.3125,0.3125,-0.1,-0.1,0.625,0.000625,2
0.3125,0.3375,-0.1,-0.1,0.625,0.000625,2
0.3375,0.3125,-0.1,-0.1,0.625,0.000625,2
0.3375,0.3375,-0.1,-0.1,0.625,0.000625,2
0.3125,0.3625,-0.1,-0.1,0.625,0.000625,2
0.3125,0.3875,-0.1,-0.1,0.625,0.000625,2
0.3375,0.3625,-0.1,-0.1,0.625,0.000625,2
0.3375,0.3875,-0.1,-0.1,0.625,0.000625,2
0.3125,0.4125,-0.1,-0.1,0.625,0.000625,2
0.3125,0.4375,-0.1,-0.1,0.625,0.000625,2
0.3375,0.4125,-0.1,-0.1,0.625,0.000625,2
0.3375,0.4375,-0.1,-0.1,0.625,0.000625,2
0.3125,0.4625,-0.1,-0.1,0.625,0.000625,2
0.3125,0.4875,-0.1,-0.1,0.625,0.000625,2
0.3375,0.4625,-0.1,-0.1,0.625,0.000625,2
0.3375,0.4875,-0.1,-0.1,0.625,0.000625,2
0.3625,0.1125,-0.1,-0.1,0.625,0.000625,2
0.3625,0.1375,-0.1,-0.1,0.625,0.000625,2
0.3875,0.1375,-0.1,-0.1,0.625,0.000625,2
0.3625,0.1625,-0.1,-0.1,0.625,0.000625,2
0.3625,0.1875,-0.1,-0.1,0.625,0.000625,2
0.3875,0.1625,-0.1,-0.1,0.625,0.000625,2
0.3875,0.1875,-0.1,-0.1,0.625,0.000625,2
0.3625,0.2125,-0.1,-0.1,0.625,0.000625,2
0.3625,0.2375,-0.1,-0.1,0.625,0.000625,2
0.3875,0.2125,-0.1,-0.1,0.625,0.000625,2
0.3875,0.2375,-0.1,-0.1,0.625,0.000625,2
0.3625,0.2625,-0.1,-0.1,0.625,0.000625,2
0.3625,0.2875,-0.1,-0.1,0.625,0.000625,2
0.3875,0.2625,-0.1,-0.1,0.625,0.000625,2
0.3875,0.2875,-0.1,-0.1,0.625,0.000625,2
0.3625,0.3125,-0.1,-0.1,0.625,0.000625,2
0.3625,0.3375,-0.1,-0.1,0.625,0.000625,2
0.3875,0.3125,-0.1,-0.1,0.625,0.000625,2
0.3875,0.3375,-0.1,-0.1,0.625,0.000625,2
0.3625,0.3625,-0.1,-0.1,0.625,0.000625,2
0.3625,0.3875,-0.1,-0.1,0.625,0.000625,2
0.3875,0.3625,-0.1,-0.1,0.625,0.000625,2
0.3875,0.3875,-0.1,-0.1,0.625,0.000625,2
0.3625,0.4125,-0.1,-0.1,0.625,0.000625,2
0.3625,0.4375,-0.1,-0.1,0.625,0.000625,2
0.3875,0.4125,-0.1,-0.1,0.625,0.000625,2
0.3875,0.4375,-0.1,-0.1,0.625,0.000625,2
0.3625,0.4625,-0.1,-0.1,0.625,0.000625,2
0.3625,0.4875,-0.1,-0.1,0.625,0.000625,2
0.3875,0.4625,-0.1,-0.1,0.625,0.000625,2
0.4125,0.1375,-0.1,-0.1,0.625,0.000625,2
0.4125,0.1625,-0.1,-0.1,0.625,0.000625,2
0.4125,0.1875,-0.1,-0.1,0.625,0.000625,2
0.4375,0.1625,-0.1,-0.1,0.625,0.000625,2
0.4375,0.1875,-0.1,-0.1,0.625,0.000625,2
0.4125,0.2125,-0.1,-0.1,0.625,0.000625,2
0.4125,0.2375,-0.1,-0.1,0.625,0.000625,2
0.4375,0.2125,-0.1,-0.1,0.625,0.000625,2
0.4375,0.2375,-0.1,-0.1,0.625,0.000625,2
0.4125,0.2625,-0.1,-0.1,0.625,0.000625,2
0.4125,0.2875,-0.1,-0.1,0.625,0.000625,2
0.4375,0.2625,-0.1,-0.1,0.625,0.000625,2
0.4375,0.2875,-0.1,-0.1,0.625,0.000625,2
0.4125,0.3125,-0.1,-0.1,0.625,0.000625,2
0.4125,0.3375,-0.1,-0.1,0.625,0.000625,2
0.4375,0.3125,-0.1,-0.1,0.625,0.000625,2
0.4375,0.3375,-0.1,-0.1,0.625,0.000625,2
0.4125,0.3625,-0.1,-0.1,0.625,0.000625,2
0.4125,0.3875,-0.1,-0.1,0.625,0.000625,2
0.4375,0.3625,-0.1,-0.1,0.625,0.000625,2
0.4375,0.3875,-0.1,-0.1,0.625,0.000625,2
0.4125,0.4125,-0.1,-0.1,0.625,0.000625,2
0.4125,0.4375,-0.1,-0.1,0.625,0.000625,2
0.4375,0.4125,-0.1,-0.1,0.625,0.000625,2
0.4375,0.4375,-0.1,-0.1,0.625,0.000625,2
0.4125,0.4625,-0.1,-0.1,0.625,0.000625,2
0.4625,0.1875,-0.1,-0.1,0.625,0.000625,2
0.4625,0.2125,-0.1,-0.1,0.625,0.000625,2
0.4625,0.2375,-0.1,-0.1,0.625,0.000625,2
0.4875,0.2375,-0.1,-0.1,0.625,0.000625,2
0.4625,0.2625,-0.1,-0.1,0.625,0.000625,2
0.4625,0.2875,-0.1,-0.1,0.625,0.000625,2
0.4875,0.2625,-0.1,-0.1,0.625,0.000625,2
0.4875,0.2875,-0.1,-0.1,0.625,0.000625,2
0.4625,0.3125,-0.1,-0.1,0.625,0.000625,2
0.4625,0.3375,-0.1,-0.1,0.625,0.000625,2
0.4875,0.3125,-0.1,-0.1,0.625,0.000625,2
0.4875,0.3375,-0.1,-0.1,0.625,0.000625,2
0.4625,0.3625,-0.1,-0.1,0.625,0.000625,2
0.4625,0.3875,-0.1,-0.1,0.625,0.000625,2
0.4875,0.3625,-0.1,-0.1,0.625,0.000625,2
0.4625,0.4125,-0.1,-0.1,0.625,0.000625,2
